age,gender,country,job_role,seniority_level,years_experience,company_size,industry,work_mode,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,burnout_level,salary_relative
27,Female,UK,Backend Developer,Senior,4,Large (1001-5000),Fintech,Hybrid,48,2.6,17,5.6,6,9,1,0,0,6.8,7.7,5.9,3.4,6.5,6.8,Low,1.2890413126910454
33,Female,Canada,Data Scientist,Manager,13,Small (51-200),AI / ML Startup,Remote,53,6.0,13,6.0,1,2,0,0,1,8.7,3.8,4.0,3.8,4.5,3.5,Severe,1.2629459894309347
23,Male,UK,Full Stack Developer,Senior,3,Large (1001-5000),Consulting,Hybrid,35,6.6,12,6.5,4,14,0,0,1,4.1,5.2,8.3,6.0,5.9,7.1,Low,1.1941546775212248
46,Male,Germany,Full Stack Developer,Mid,24,Enterprise (5000+),AI / ML Startup,Hybrid,45,7.8,28,7.1,3,4,1,0,0,6.9,8.4,6.6,6.6,6.7,4.3,Severe,0.9952096420774115
22,Non-binary,UK,Frontend Developer,Senior,1,Small (51-200),Fintech,Hybrid,48,4.4,9,5.6,2,13,1,1,0,6.9,7.7,7.9,5.9,9.8,7.8,Low,1.0399737664683253
24,Female,UK,Software Engineer,Manager,3,Enterprise (5000+),Enterprise Software,Hybrid,52,6.2,40,5.6,2,17,0,0,1,6.5,2.8,4.7,7.3,7.5,6.3,Severe,1.262225769735551
24,Male,India,Software Engineer,Mid,0,Large (1001-5000),Fintech,Hybrid,54,5.5,26,5.0,5,16,1,1,1,5.3,7.1,2.8,4.6,7.2,5.9,Severe,0.962782656685407
32,Female,Netherlands,Software Engineer,Junior,10,Enterprise (5000+),SaaS / Cloud,Hybrid,44,3.8,46,4.7,2,5,0,0,1,4.8,7.0,5.8,4.3,7.3,1.6,Severe,0.5923281248539569
38,Female,Canada,Cybersecurity Engineer,Mid,16,Mid (201-1000),Fintech,Remote,40,2.0,7,5.8,1,16,1,0,1,7.0,3.6,8.7,4.1,6.7,1.8,Moderate,0.9861706907385581
35,Male,Netherlands,Product Manager,Mid,16,Small (51-200),Healthcare Tech,Remote,48,2.3,25,7.4,3,3,1,1,1,3.6,4.4,4.3,6.5,7.3,8.1,Low,0.819156350185533
41,Male,Brazil,Backend Developer,Junior,19,Mid (201-1000),Fintech,Hybrid,43,3.3,16,5.8,1,2,0,0,1,4.7,6.9,1.7,6.7,5.8,3.8,Severe,0.8398328228782779
25,Male,UK,Backend Developer,Lead,2,Large (1001-5000),E-commerce,Hybrid,51,4.9,7,6.9,1,12,1,0,1,7.0,4.4,4.3,4.0,5.2,1.0,Moderate,1.3339971135651074
36,Female,Singapore,ML Engineer,Senior,14,Enterprise (5000+),Social Media / AdTech,On-site,50,3.2,51,7.5,2,10,0,0,0,5.4,6.2,6.7,6.5,8.1,8.5,Moderate,1.3752629216895085
29,Male,India,Data Scientist,Senior,8,Startup (1-50),Healthcare Tech,Hybrid,42,1.1,7,6.9,4,18,0,0,1,2.8,8.2,3.9,5.4,8.0,4.6,Moderate,0.962782656685407
33,Female,India,Frontend Developer,Mid,12,Large (1001-5000),Gaming,Hybrid,46,3.2,15,7.3,4,10,0,0,1,7.7,3.9,3.1,5.7,6.2,5.1,Low,0.962782656685407
39,Male,USA,Backend Developer,Junior,15,Mid (201-1000),SaaS / Cloud,Remote,44,6.1,10,4.4,0,10,0,0,1,2.3,6.4,2.7,4.9,7.9,4.3,Severe,0.61525340307129
22,Male,UK,Data Scientist,Manager,1,Startup (1-50),Healthcare Tech,Remote,55,9.4,6,5.4,2,17,1,1,1,1.0,5.4,7.8,6.9,7.9,7.8,Severe,1.5631983698658143
45,Male,UK,Frontend Developer,Mid,24,Mid (201-1000),AI / ML Startup,Remote,42,5.8,5,4.5,1,4,1,1,1,7.2,3.2,6.1,6.0,6.1,8.1,High,0.7341953517402325
30,Male,India,ML Engineer,Manager,8,Mid (201-1000),AI / ML Startup,Hybrid,51,5.2,19,7.4,1,22,0,0,1,3.5,3.0,4.5,7.4,4.5,6.1,Moderate,1.213876373548961
22,Female,USA,Software Engineer,Manager,0,Mid (201-1000),AI / ML Startup,On-site,49,6.7,6,5.4,2,20,0,0,1,4.2,6.4,3.0,5.1,6.6,7.3,Severe,1.5020834010650934
26,Female,Netherlands,Cybersecurity Engineer,Manager,4,Large (1001-5000),Gaming,Remote,59,5.4,7,7.1,0,17,0,0,1,7.3,1.6,5.8,8.7,6.6,8.9,High,1.5462249623793098
32,Prefer not to say,USA,Software Engineer,Lead,11,Startup (1-50),AI / ML Startup,Remote,53,4.8,5,4.8,5,8,0,0,1,4.4,5.8,8.4,5.2,7.9,7.1,Severe,1.0328589579452119
26,Male,Netherlands,Product Manager,Lead,5,Startup (1-50),Fintech,Remote,50,6.7,6,8.9,4,7,1,1,1,6.3,4.4,9.2,3.0,7.5,10.0,Severe,1.4393293352587648
22,Male,India,Product Manager,Mid,0,Enterprise (5000+),E-commerce,On-site,53,4.1,56,6.2,0,9,0,0,1,5.3,4.8,4.5,8.3,4.5,2.7,Low,0.962782656685407
32,Male,India,Product Manager,Mid,13,Small (51-200),E-commerce,Hybrid,47,2.3,20,6.0,7,10,0,0,1,4.5,3.3,4.1,5.1,6.8,9.0,Moderate,0.962782656685407
26,Male,Brazil,Software Engineer,Junior,4,Mid (201-1000),SaaS / Cloud,Hybrid,43,3.5,22,6.5,0,30,0,0,1,3.5,6.4,3.7,5.8,8.0,3.3,Low,0.8398328228782779
36,Non-binary,USA,Software Engineer,Junior,13,Small (51-200),Healthcare Tech,Hybrid,47,4.5,24,6.1,4,14,0,0,1,5.1,3.5,2.0,9.1,4.3,4.2,Moderate,0.5786127413807682
24,Male,USA,Cybersecurity Engineer,Senior,3,Mid (201-1000),AI / ML Startup,Hybrid,53,4.8,20,6.9,4,15,0,0,1,9.5,5.5,7.9,5.5,10.0,4.7,Moderate,1.171188829480274
47,Male,UK,DevOps Engineer,Mid,25,Enterprise (5000+),Social Media / AdTech,Hybrid,46,1.4,21,4.8,3,5,0,0,1,5.3,8.5,3.5,4.9,4.4,3.0,Moderate,0.9806118030556994
35,Female,USA,Data Scientist,Senior,14,Mid (201-1000),Fintech,Hybrid,44,3.6,18,6.9,4,5,1,0,1,6.5,2.6,7.7,4.1,5.5,6.7,Moderate,1.4090119208683956
32,Male,Netherlands,Data Scientist,Mid,12,Mid (201-1000),AI / ML Startup,Remote,61,7.1,27,5.1,1,18,0,0,1,5.3,3.2,3.0,5.1,6.3,1.8,Severe,1.022510491732795
35,Male,USA,ML Engineer,Lead,11,Enterprise (5000+),E-commerce,Hybrid,52,5.8,58,4.9,4,13,0,0,0,5.2,5.8,6.4,4.6,6.1,3.3,Severe,1.5141044777515253
22,Male,USA,Software Engineer,Mid,0,Mid (201-1000),Cybersecurity,Hybrid,44,2.9,20,7.4,5,6,1,0,1,7.4,8.2,5.1,7.7,6.3,5.3,Low,0.6823929536474753
28,Female,India,Data Analyst,Senior,6,Small (51-200),Fintech,Remote,45,3.4,6,7.2,2,18,0,0,1,4.8,5.2,4.7,6.4,3.9,7.5,Low,0.962782656685407
43,Male,Brazil,QA Engineer,Mid,19,Mid (201-1000),SaaS / Cloud,Remote,51,2.6,21,6.0,4,11,0,0,1,6.1,6.4,3.5,1.4,5.5,8.6,High,0.8398328228782779
29,Female,USA,Software Engineer,Manager,8,Large (1001-5000),Social Media / AdTech,Hybrid,53,7.6,24,5.5,5,11,1,1,1,7.2,4.2,5.2,4.7,3.9,6.5,Severe,1.5923114679262087
31,Female,Canada,Product Manager,Junior,9,Small (51-200),SaaS / Cloud,Hybrid,45,4.4,8,5.7,2,17,0,0,1,7.9,9.2,8.6,4.3,6.6,7.0,High,0.750116232391826
28,Male,USA,Product Manager,Mid,8,Mid (201-1000),E-commerce,On-site,40,3.8,20,4.3,4,18,1,0,1,7.2,5.4,7.6,4.8,8.6,8.0,Low,0.9986067634565795
41,Female,Brazil,Data Scientist,Mid,18,Enterprise (5000+),Healthcare Tech,Remote,50,1.7,23,8.0,2,16,0,0,1,5.3,6.4,1.4,1.0,5.2,6.2,High,1.0361857368672192
29,Male,USA,Product Manager,Senior,8,Enterprise (5000+),Gaming,Remote,51,3.4,57,4.7,4,9,1,1,1,8.0,6.8,8.1,3.2,5.6,5.1,Severe,1.6778500900246403
22,Non-binary,Australia,Software Engineer,Senior,1,Startup (1-50),AI / ML Startup,Hybrid,52,2.7,4,7.8,3,3,0,0,0,1.4,3.9,8.2,1.8,10.0,5.8,Severe,0.9805717295549646
49,Male,USA,Cybersecurity Engineer,Junior,25,Enterprise (5000+),AI / ML Startup,Hybrid,38,3.6,54,7.1,5,15,0,0,1,4.8,8.5,2.9,9.3,9.6,6.4,Low,0.7357791326435507
22,Female,USA,Full Stack Developer,Mid,5,Mid (201-1000),SaaS / Cloud,Hybrid,44,2.0,16,7.3,1,15,1,0,1,9.4,4.6,3.8,5.1,4.6,7.4,Low,0.7091735327866079
30,Male,Canada,Software Engineer,Mid,9,Small (51-200),SaaS / Cloud,On-site,47,1.7,15,5.5,2,16,0,0,1,6.7,6.9,5.4,6.9,4.2,6.0,Low,0.832875635619951
25,Male,USA,Cybersecurity Engineer,Senior,3,Small (51-200),AI / ML Startup,On-site,44,5.1,15,5.6,3,15,1,0,0,5.2,3.1,5.1,7.6,6.6,3.0,High,1.0327977151964456
26,Male,Canada,Data Scientist,Senior,6,Large (1001-5000),Fintech,On-site,49,3.0,14,6.3,2,4,0,0,1,9.6,6.4,4.3,4.9,7.9,7.4,High,1.3805018381846197
24,Male,Australia,Data Scientist,Senior,0,Small (51-200),Cybersecurity,On-site,36,4.7,29,7.0,0,13,1,1,1,3.3,6.4,6.5,5.2,4.3,1.8,Moderate,1.1749886732002683
27,Female,Germany,Backend Developer,Manager,6,Startup (1-50),Cybersecurity,Remote,53,5.8,6,6.6,2,12,1,1,0,9.5,3.6,3.9,7.1,6.1,5.1,High,1.4163750949584168
38,Male,India,Frontend Developer,Senior,17,Mid (201-1000),Cybersecurity,Hybrid,44,4.9,28,8.4,2,9,0,0,1,4.4,5.8,3.8,9.2,5.8,5.7,Low,0.962782656685407
22,Male,USA,Full Stack Developer,Senior,0,Large (1001-5000),Consulting,Remote,41,1.3,10,5.9,5,18,1,1,0,6.1,6.0,1.8,5.2,3.9,5.3,Low,1.025098626780099
40,Female,Canada,ML Engineer,Principal,16,Enterprise (5000+),Fintech,Hybrid,54,3.2,46,4.3,2,8,0,0,0,4.6,7.3,5.5,3.2,4.9,3.7,Severe,2.259969143013518
39,Female,Germany,Product Manager,Mid,18,Mid (201-1000),Fintech,Remote,45,3.3,22,6.6,2,17,0,0,1,7.0,5.2,5.0,1.0,7.1,7.3,Moderate,0.8605852649890925
35,Female,Brazil,Cybersecurity Engineer,Mid,10,Small (51-200),Healthcare Tech,Remote,50,1.7,15,5.9,3,17,0,0,1,7.8,3.2,2.4,3.7,5.2,6.9,Moderate,0.8398328228782779
32,Male,USA,Cloud Engineer,Senior,7,Startup (1-50),Fintech,Remote,50,2.4,3,7.4,4,10,1,0,1,6.2,7.2,6.2,4.9,6.1,3.5,Moderate,1.200742830242113
33,Male,India,Data Analyst,Senior,11,Mid (201-1000),Healthcare Tech,Remote,51,4.8,27,3.8,5,16,1,0,0,6.6,2.1,6.1,2.6,5.2,5.1,Severe,0.962782656685407
41,Non-binary,Netherlands,Data Scientist,Mid,19,Small (51-200),AI / ML Startup,Hybrid,48,5.7,26,6.5,1,13,0,0,1,5.9,5.8,5.1,7.9,6.5,7.1,Moderate,0.8643712788230565
22,Male,UK,DevOps Engineer,Mid,0,Mid (201-1000),SaaS / Cloud,Hybrid,42,2.2,6,5.9,2,0,0,0,1,6.9,9.1,5.8,4.9,6.3,5.0,High,0.7157730624485529
36,Male,USA,Full Stack Developer,Senior,13,Mid (201-1000),Healthcare Tech,Hybrid,46,6.2,27,7.4,4,14,0,0,0,5.4,7.4,5.8,8.9,6.1,3.7,Low,1.1119495934949533
26,Male,Singapore,Backend Developer,Mid,1,Mid (201-1000),Fintech,Remote,43,4.9,19,6.4,0,9,0,0,0,6.9,5.8,4.5,7.2,6.4,5.6,Moderate,0.691502294184354
37,Male,USA,Software Engineer,Manager,14,Small (51-200),Gaming,Remote,55,5.4,7,7.5,6,1,0,0,1,6.2,3.2,6.5,5.2,6.0,7.1,High,1.252764170837109
27,Female,India,Product Manager,Junior,3,Small (51-200),SaaS / Cloud,Hybrid,47,4.3,18,4.9,3,7,0,0,0,5.6,4.6,6.2,6.6,6.1,5.6,Severe,0.962782656685407
36,Male,Brazil,Software Engineer,Mid,15,Large (1001-5000),Gaming,Hybrid,37,6.5,28,6.0,5,1,0,0,1,4.7,4.8,4.5,3.2,6.4,6.9,High,0.8398328228782779
22,Male,USA,QA Engineer,Senior,0,Large (1001-5000),SaaS / Cloud,Remote,43,5.0,29,7.5,3,12,0,0,0,7.9,6.5,3.5,4.5,1.8,8.0,Low,0.8201628914795303
22,Male,Australia,Full Stack Developer,Mid,2,Startup (1-50),AI / ML Startup,Hybrid,49,4.0,5,6.3,2,14,1,0,1,7.3,6.3,3.0,6.6,6.9,2.5,Low,0.7261369830393894
30,Male,USA,Software Engineer,Lead,7,Mid (201-1000),SaaS / Cloud,Remote,56,7.7,13,6.7,0,17,0,0,1,6.0,5.7,5.4,4.8,6.2,10.0,Severe,1.3744447636718216
41,Female,India,Frontend Developer,Senior,18,Mid (201-1000),SaaS / Cloud,On-site,52,0.6,12,6.4,0,5,0,0,1,6.1,3.7,5.5,6.6,8.7,4.7,Moderate,0.962782656685407
35,Female,USA,Data Analyst,Mid,14,Small (51-200),Enterprise Software,Hybrid,51,2.9,11,5.3,3,13,0,0,0,6.2,8.0,5.0,4.1,4.6,8.0,High,0.6390243385567598
35,Male,USA,Data Analyst,Lead,13,Large (1001-5000),Healthcare Tech,Remote,56,5.9,27,6.2,0,13,0,0,1,7.2,3.0,8.3,6.0,8.0,4.7,High,1.1795003453842843
37,Female,UK,Software Engineer,Mid,16,Large (1001-5000),AI / ML Startup,On-site,36,3.3,23,5.8,3,11,0,0,0,8.2,5.4,5.7,5.6,6.6,6.4,Low,0.9889373691899673
28,Male,UK,ML Engineer,Senior,4,Enterprise (5000+),E-commerce,On-site,57,2.3,26,5.4,5,17,0,0,1,9.7,3.8,5.7,6.0,7.2,7.4,Low,1.3342904261931439
35,Male,USA,Data Analyst,Senior,13,Mid (201-1000),E-commerce,Remote,59,2.6,7,6.0,2,14,0,0,0,6.0,3.9,5.3,7.7,4.4,5.6,Moderate,0.8833041654576811
27,Male,Germany,Cloud Engineer,Junior,5,Small (51-200),AI / ML Startup,Hybrid,45,1.4,7,6.6,1,8,1,0,1,6.9,6.6,3.6,5.6,7.9,4.9,Moderate,0.5853694420857899
29,Male,Canada,Product Manager,Mid,5,Startup (1-50),Enterprise Software,Hybrid,48,6.0,4,7.7,2,15,0,0,1,6.9,2.3,3.0,5.3,4.1,4.9,Moderate,0.9139852073791916
30,Male,France,Data Scientist,Senior,8,Startup (1-50),Gaming,On-site,50,5.6,3,5.3,1,8,0,0,1,4.5,3.4,4.3,6.8,10.0,3.7,Severe,1.1930474935319175
27,Male,Brazil,Data Scientist,Senior,6,Startup (1-50),Cybersecurity,Remote,45,3.4,4,5.7,7,10,0,0,1,6.8,6.4,8.2,4.3,7.6,3.2,Moderate,0.9879373411928621
31,Male,India,ML Engineer,Mid,9,Small (51-200),Fintech,Hybrid,49,4.4,22,8.2,3,19,1,0,0,4.5,4.1,2.0,5.6,10.0,5.3,Low,0.962782656685407
29,Non-binary,India,Data Analyst,Mid,8,Startup (1-50),Consulting,Remote,46,3.0,2,6.3,4,20,0,0,0,6.7,4.2,4.2,3.7,9.4,6.3,Moderate,0.962782656685407
26,Male,USA,Data Scientist,Manager,2,Small (51-200),SaaS / Cloud,Remote,44,5.9,16,6.6,2,16,0,0,1,7.9,6.9,4.0,6.1,7.5,5.3,High,1.5390827702841041
30,Male,USA,Cloud Engineer,Lead,9,Mid (201-1000),Gaming,Remote,49,8.3,25,7.4,6,14,0,0,0,4.8,6.5,6.9,1.7,10.0,6.4,Severe,1.2345225806688334
32,Female,India,Software Engineer,Lead,10,Mid (201-1000),AI / ML Startup,Hybrid,51,6.9,13,5.6,1,17,1,0,0,8.9,6.3,1.0,7.2,5.6,5.3,Moderate,0.962782656685407
23,Male,India,Software Engineer,Junior,1,Startup (1-50),SaaS / Cloud,Hybrid,42,3.0,5,6.2,4,12,1,0,0,3.8,4.3,2.7,5.6,10.0,7.4,Moderate,0.962782656685407
34,Female,Brazil,Full Stack Developer,Manager,13,Enterprise (5000+),Healthcare Tech,Hybrid,49,6.1,20,7.1,0,11,1,0,0,6.3,2.8,5.9,9.5,6.4,6.0,High,1.600553393841422
28,Female,Canada,Frontend Developer,Senior,6,Small (51-200),Social Media / AdTech,Remote,45,5.7,15,6.8,7,21,1,0,1,7.9,5.9,6.5,2.2,5.9,4.5,Low,0.943842871689455
32,Male,Singapore,Software Engineer,Senior,9,Mid (201-1000),SaaS / Cloud,Hybrid,52,5.7,29,6.1,4,9,1,1,0,4.1,4.1,5.0,6.2,3.7,9.3,High,1.033538480420405
26,Female,India,DevOps Engineer,Junior,6,Enterprise (5000+),SaaS / Cloud,Remote,43,4.2,32,7.4,3,23,1,1,1,8.4,2.0,5.7,3.6,4.1,9.0,Low,0.962782656685407
38,Male,UK,Backend Developer,Junior,17,Startup (1-50),Healthcare Tech,Hybrid,56,1.3,6,7.0,1,11,0,0,1,3.6,5.2,3.4,3.0,10.0,8.1,High,0.6075181401932208
38,Male,USA,Frontend Developer,Mid,15,Mid (201-1000),Cybersecurity,Remote,44,3.5,16,5.6,0,18,1,1,1,6.5,3.5,4.5,4.8,7.0,5.6,High,0.7205559350930474
24,Female,Australia,Product Manager,Junior,4,Startup (1-50),Gaming,On-site,45,4.6,6,5.3,2,8,0,0,0,1.4,5.7,5.0,3.0,7.4,7.5,High,0.6309419814905209
35,Male,Canada,DevOps Engineer,Mid,10,Small (51-200),Healthcare Tech,On-site,52,3.5,29,6.0,5,16,0,0,1,5.4,5.4,2.7,6.6,6.4,7.8,Low,0.9078679751146921
41,Female,USA,ML Engineer,Mid,19,Startup (1-50),E-commerce,On-site,50,3.4,6,5.7,2,24,0,0,0,2.5,6.6,4.8,4.6,2.6,3.0,Moderate,0.6993484460916566
24,Male,USA,Cybersecurity Engineer,Mid,4,Small (51-200),SaaS / Cloud,Hybrid,43,2.3,26,4.5,6,13,0,0,1,7.0,3.6,5.5,6.8,5.2,4.0,Moderate,0.7576427939531528
25,Male,USA,ML Engineer,Junior,4,Startup (1-50),SaaS / Cloud,Hybrid,48,2.5,6,7.3,3,25,1,0,0,5.2,8.0,2.5,4.4,3.8,6.5,Low,0.6284205940560644
36,Male,UK,ML Engineer,Principal,14,Large (1001-5000),Gaming,Remote,42,3.2,25,8.6,3,23,1,0,0,3.3,9.5,2.3,3.7,7.9,8.1,Low,2.0990805412885725
22,Male,USA,Software Engineer,Mid,0,Startup (1-50),Cybersecurity,Remote,44,2.0,5,6.0,3,10,0,0,1,9.6,2.3,3.6,1.6,5.8,5.5,Low,0.6568284805195611
26,Female,USA,QA Engineer,Junior,0,Startup (1-50),SaaS / Cloud,On-site,46,3.6,8,4.4,3,14,1,0,0,4.9,3.9,3.3,3.1,5.4,8.3,Severe,0.44683584396371023
24,Male,Australia,Software Engineer,Lead,3,Large (1001-5000),Fintech,On-site,48,7.0,13,5.3,0,22,1,1,1,9.9,3.4,4.9,7.0,6.1,7.1,Severe,1.5570212452055958
36,Male,USA,Software Engineer,Manager,12,Small (51-200),AI / ML Startup,Hybrid,46,8.5,8,5.3,2,0,0,0,1,4.0,6.1,5.7,6.4,7.8,5.6,Severe,1.22456625951224
26,Male,India,Data Scientist,Manager,5,Small (51-200),Healthcare Tech,Remote,48,7.9,17,5.2,3,22,0,0,1,4.9,6.7,2.5,5.8,4.3,9.4,High,1.0131602591964708
29,Female,USA,Backend Developer,Junior,6,Small (51-200),AI / ML Startup,On-site,47,4.2,24,5.7,2,9,0,0,0,6.9,4.6,4.2,5.7,5.3,4.9,High,0.5346841925870457
26,Male,India,Frontend Developer,Mid,5,Small (51-200),Fintech,Remote,48,2.5,19,7.0,1,14,0,0,1,6.0,5.6,4.0,2.9,6.9,4.0,Severe,0.962782656685407
39,Male,India,Data Analyst,Junior,17,Startup (1-50),E-commerce,Hybrid,48,4.2,6,6.4,0,9,0,0,1,5.4,5.6,4.5,7.6,7.0,5.1,High,0.962782656685407
25,Male,UK,Data Analyst,Mid,4,Startup (1-50),Fintech,Remote,36,1.5,5,5.4,0,15,0,0,0,5.5,8.2,3.1,6.0,7.6,4.1,Moderate,0.68576492434943
22,Male,USA,ML Engineer,Junior,0,Startup (1-50),Enterprise Software,Remote,47,5.2,3,6.7,5,15,0,0,0,5.6,6.1,3.9,4.4,5.3,6.2,Low,0.6507566994275787
22,Male,Netherlands,Data Scientist,Junior,1,Enterprise (5000+),Consulting,Hybrid,51,3.7,27,4.6,3,8,0,0,1,2.6,5.1,2.4,7.3,6.3,4.7,Severe,0.756533674022563
36,Male,USA,Cloud Engineer,Mid,14,Startup (1-50),Fintech,On-site,48,0.3,8,6.2,5,16,0,0,1,4.1,6.7,8.1,6.2,5.9,7.6,Low,0.9573204018239213
36,Non-binary,USA,DevOps Engineer,Mid,14,Mid (201-1000),Cybersecurity,Hybrid,51,1.1,6,6.4,1,5,0,0,1,6.4,5.6,5.8,3.4,5.0,4.1,Severe,0.755280573643592
40,Male,Australia,Product Manager,Senior,19,Startup (1-50),Fintech,Hybrid,45,3.5,4,6.3,4,0,0,0,1,9.3,7.2,3.5,2.8,8.6,5.8,Severe,1.014367593975966
22,Female,USA,ML Engineer,Manager,0,Startup (1-50),Enterprise Software,On-site,47,5.5,2,6.5,5,19,0,0,1,5.5,1.0,3.7,7.1,5.0,3.4,Low,1.4370610998034035
29,Female,Australia,Data Scientist,Lead,8,Mid (201-1000),Cybersecurity,Remote,55,8.3,8,6.0,0,4,0,0,1,8.1,5.2,9.6,6.8,4.9,5.3,Severe,1.2180441596361682
48,Male,India,Frontend Developer,Junior,25,Mid (201-1000),SaaS / Cloud,Hybrid,41,3.0,21,6.1,1,9,0,0,0,1.6,8.2,5.4,7.0,6.6,5.3,High,0.962782656685407
29,Male,Canada,Software Engineer,Lead,10,Enterprise (5000+),SaaS / Cloud,Remote,54,7.8,45,5.4,3,14,0,0,1,7.8,7.7,4.7,3.4,5.9,6.0,Severe,1.4568868925556917
27,Female,Canada,Frontend Developer,Senior,4,Mid (201-1000),AI / ML Startup,Remote,40,1.9,17,5.1,2,23,0,0,1,8.5,5.2,3.9,6.4,5.2,9.0,Low,1.0666053314423463
31,Non-binary,UK,Software Engineer,Junior,11,Startup (1-50),E-commerce,Hybrid,52,2.9,4,5.5,3,9,0,0,1,6.9,7.0,2.9,2.3,5.1,6.3,High,0.451250196979292
35,Male,USA,ML Engineer,Lead,11,Large (1001-5000),Gaming,On-site,55,8.0,21,5.3,7,16,1,1,1,4.7,5.9,6.1,8.3,6.7,6.3,Severe,1.5130633510224967
35,Male,UK,Cybersecurity Engineer,Senior,12,Large (1001-5000),Fintech,On-site,45,3.0,12,6.4,3,14,0,0,1,6.7,3.5,4.9,6.6,5.2,2.6,Low,1.0254886351452899
27,Male,France,Software Engineer,Lead,7,Mid (201-1000),SaaS / Cloud,Hybrid,51,5.0,19,5.9,0,14,0,0,1,7.6,3.8,3.8,4.1,3.3,5.6,Severe,1.3083409763735743
27,Male,USA,Software Engineer,Junior,4,Small (51-200),Fintech,Hybrid,44,0.0,11,5.4,3,13,1,0,1,6.1,7.3,3.9,7.8,6.1,1.6,Low,0.5302922126040844
29,Non-binary,France,Software Engineer,Manager,7,Mid (201-1000),Fintech,Remote,50,5.9,11,4.8,5,10,0,0,1,7.1,6.2,5.5,4.1,8.1,10.0,Severe,1.7176903181508492
26,Male,India,Data Analyst,Lead,4,Small (51-200),Cybersecurity,Hybrid,50,4.9,9,7.7,2,10,0,0,0,6.6,3.8,2.2,6.1,6.9,7.0,Moderate,0.962782656685407
22,Prefer not to say,UK,Software Engineer,Senior,0,Mid (201-1000),SaaS / Cloud,Hybrid,53,4.9,24,6.8,4,13,0,0,1,1.4,6.1,3.4,6.4,4.6,4.8,Severe,1.3513251211291122
44,Male,Singapore,Software Engineer,Principal,22,Small (51-200),E-commerce,On-site,35,2.0,12,6.0,1,0,0,0,1,7.2,8.7,6.7,7.8,2.8,4.0,Moderate,1.604109706176321
28,Male,UK,Backend Developer,Lead,5,Enterprise (5000+),AI / ML Startup,Remote,46,8.7,48,5.0,7,12,1,0,0,1.4,8.1,4.2,3.0,9.5,4.5,Severe,1.5971436659335814
29,Female,India,DevOps Engineer,Senior,4,Large (1001-5000),Fintech,On-site,55,3.7,9,7.3,3,14,0,0,1,5.5,4.4,4.0,8.7,9.0,5.6,Low,0.962782656685407
29,Male,USA,Full Stack Developer,Lead,6,Mid (201-1000),Fintech,Hybrid,57,3.8,16,7.6,3,2,0,0,1,8.2,6.4,8.2,5.9,7.2,6.6,Severe,1.132124704731425
30,Male,Canada,Backend Developer,Junior,5,Large (1001-5000),SaaS / Cloud,Remote,50,4.9,10,5.3,3,5,0,0,1,7.3,5.4,4.9,5.8,8.6,8.1,Severe,0.5714416269499272
34,Male,USA,Product Manager,Senior,12,Startup (1-50),SaaS / Cloud,On-site,47,6.3,5,5.4,1,12,0,0,0,4.1,3.5,6.6,5.5,4.7,4.1,Severe,1.299194923366144
28,Male,USA,Cybersecurity Engineer,Junior,7,Small (51-200),AI / ML Startup,On-site,47,2.9,22,5.9,2,4,0,0,1,5.7,2.4,3.4,6.2,8.7,1.1,Moderate,0.59131623726774
39,Male,USA,Product Manager,Junior,17,Mid (201-1000),Healthcare Tech,Remote,52,1.7,18,6.8,5,24,1,0,1,9.2,6.1,4.5,1.0,4.8,7.8,Moderate,0.5528907868988833
35,Female,USA,Frontend Developer,Senior,13,Mid (201-1000),SaaS / Cloud,Hybrid,50,5.5,24,5.7,1,15,1,1,1,8.0,5.4,6.4,5.7,6.4,4.8,High,0.8405304799264106
30,Male,Singapore,Data Scientist,Lead,12,Mid (201-1000),SaaS / Cloud,Hybrid,46,9.1,8,6.6,3,17,0,0,0,8.4,5.9,9.6,5.2,6.2,6.0,Severe,1.343335041324621
26,Male,UK,QA Engineer,Mid,4,Mid (201-1000),AI / ML Startup,Hybrid,43,3.7,8,5.8,2,12,0,0,1,4.4,4.6,5.2,5.3,6.7,8.0,Moderate,0.6067510148583559
39,Female,USA,Data Scientist,Junior,17,Small (51-200),Fintech,Hybrid,51,3.7,29,4.5,4,11,1,0,1,4.5,3.9,6.3,6.8,7.7,4.2,Severe,0.6317626983458875
30,Male,Singapore,QA Engineer,Senior,8,Mid (201-1000),SaaS / Cloud,Hybrid,45,1.6,22,6.7,2,20,0,0,1,9.7,8.0,6.8,5.0,7.4,6.8,Low,0.87764001819934
22,Male,Australia,Product Manager,Junior,0,Enterprise (5000+),AI / ML Startup,On-site,46,5.5,56,6.5,3,7,0,0,1,2.9,6.0,4.2,6.7,10.0,4.5,High,0.6864880073573902
38,Female,UK,Frontend Developer,Junior,12,Startup (1-50),SaaS / Cloud,Remote,42,3.3,5,5.7,2,13,1,1,1,4.7,4.3,4.6,2.6,6.8,4.6,Moderate,0.4928893089055561
26,Male,USA,Software Engineer,Senior,3,Enterprise (5000+),Consulting,Hybrid,42,5.5,46,7.8,1,11,1,1,1,6.1,4.7,4.9,8.1,6.8,4.8,Low,1.1689753415605744
